listing_id,url,district,price,area_sqm,rooms,age_years,predicted_annual_rent,expected_yield_pct
6358279,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالرحمن-بن-أبي-القاسم-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6358279,حي الرمال,600000.0,127.0,3.0,0.0,60504.0506166345,10.08
6607041,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6607041,حي المهدية,750000.0,127.0,3.0,0.0,75557.84937525439,10.07
6606796,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6606796,حي المهدية,750000.0,127.0,3.0,0.0,75557.84937525439,10.07
6726732,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-التنعيم-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6726732,حي المونسية,770000.0,113.0,3.0,0.0,77549.68817584192,10.07
6606868,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6606868,حي المهدية,750000.0,127.0,3.0,0.0,75557.84937525439,10.07
6483895,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-175-حي-عقرباء-مدينة-امارة-منطقة-الرياض---الجبيله-منطقة-الرياض-6483895,حي بنبان,750000.0,126.0,2.0,0.0,75432.00738890738,10.06
6671072,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحسو-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6671072,حي الملقا,1050000.0,119.0,2.0,2.0,105678.71627248682,10.06
6614422,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-سويد-بن-النعمان-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6614422,حي العزيزية,450000.0,130.0,4.0,2.0,45219.27763311691,10.05
6400656,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-مهنا-بن-عيسي-حي-ظهرة-البديعة-مدينة-الرياض-منطقة-الرياض-6400656,حي ظهرة البديعة,460000.0,98.0,4.0,0.0,46252.47086339586,10.05
6576712,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-الأقزاز-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6576712,حي الدار البيضاء,425000.0,109.0,5.0,0.0,42706.40223665223,10.05
6623432,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6623432,حي المهدية,750000.0,139.0,3.0,0.0,75301.96906601473,10.04
6603676,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6603676,حي المهدية,750000.0,139.0,3.0,0.0,75301.96906601473,10.04
6727393,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6727393,حي الدار البيضاء,500000.0,142.0,3.0,2.0,50212.92244792245,10.04
6638015,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6638015,حي المهدية,700000.0,131.0,3.0,0.0,70196.402324238,10.03
6657316,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6657316,حي المهدية,700000.0,131.0,3.0,0.0,70196.402324238,10.03
6543105,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-الغصون-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6543105,حي الجنادرية,500000.0,161.0,4.0,0.0,50172.09133089133,10.03
6567463,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6567463,حي المهدية,750000.0,140.0,3.0,0.0,75176.228325274,10.02
6771440,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابن-عبدالجبار-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6771440,حي النسيم الشرقي,600000.0,125.0,3.0,0.0,60060.32463116806,10.01
6582888,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-زينب-بنت-جحش-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6582888,حي الروضة,799000.0,158.5,3.0,0.0,79991.77042844683,10.01
6370050,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-الجارة-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6370050,حي الفيحاء,564000.0,118.0,3.0,0.0,56388.45516928094,10.0
6362187,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-الشافعي-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6362187,حي الفيحاء,634000.0,163.0,3.0,0.0,63403.90714446767,10.0
6754704,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-رقم-244-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6754704,حي الجنادرية,480000.0,80.0,3.0,0.0,47979.625,10.0
6771841,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6771841,حي الجنادرية,350000.0,84.0,3.0,0.0,35006.17341269841,10.0
6352061,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ثمامة-بن-عدي-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6352061,حي النسيم الشرقي,617500.0,118.0,4.0,0.0,61663.1098263335,9.99
6503169,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملك-فهد/شارع-هشام-بن-عبدالملك-بن-مروان-حي-الملك-فهد-مدينة-الرياض-منطقة-الرياض-6503169,حي الملك فهد,990000.0,138.5,3.0,0.0,98814.87781248071,9.98
6774601,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الإعتدال-حي-بدر-الرياض-منطقة-الرياض-6774601,حي بدر,370000.0,181.0,5.0,12.0,36838.16285566286,9.96
6563284,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-أبي-بكر-القيم-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6563284,حي المهدية,700000.0,134.0,3.0,0.0,69748.12454646023,9.96
6561352,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-الفاروق/شارع-ابن-ذكوان-حي-الفاروق-مدينة-الرياض-منطقة-الرياض-6561352,حي الفاروق,600000.0,91.0,2.0,0.0,59687.282736707726,9.95
6592707,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6592707,حي المهدية,675000.0,110.0,3.0,0.0,67041.00621860076,9.93
6447264,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-حسن-المدني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6447264,حي المهدية,650000.0,118.0,3.0,0.0,64472.49813427317,9.92
6728169,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-التنعيم-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6728169,حي المونسية,780000.0,119.0,3.0,0.0,77343.63358590688,9.92
6745620,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-الحسن-بن-إبراهيم-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6745620,حي السعادة,375000.0,106.0,3.0,11.0,37192.33967282717,9.92
6784999,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالقدوس-الأنصاري-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6784999,حي الرمال,630000.0,100.0,4.0,0.0,62347.369043212384,9.9
6691829,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-317-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6691829,حي الرمال,580000.0,133.0,4.0,0.0,57398.385787844796,9.9
6671946,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-الرياحين-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6671946,حي المعيزلة,600000.0,139.0,4.0,0.0,59312.95699257718,9.89
6752620,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الاستقامة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6752620,حي بدر,350000.0,150.0,4.0,11.0,34582.746855921854,9.88
6369828,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-البلدة-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6369828,حي الفيحاء,561000.0,130.0,3.0,0.0,55418.30203207588,9.88
6733643,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6733643,حي الدار البيضاء,413000.0,119.0,4.0,2.0,40777.68477633476,9.87
