listing_id,url,district,price,area_sqm,rooms,predicted_annual_rent,expected_yield_pct
6604239,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-تقى-الدين-التميمى-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6604239,حي المهدية,700000.0,139.0,3.0,46350.13094414844,6.62
6648190,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القلاع-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6648190,حي المونسية,990000.0,170.0,4.0,65560.69284896589,6.62
6679656,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-محمد-الجمدي-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6679656,حي عكاظ,580000.0,132.0,4.0,38411.04016354018,6.62
6535523,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-النفوذ-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6535523,حي النهضة,900000.0,206.0,3.0,59557.20890399246,6.62
6580476,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-إبراهيم-الكوارني-حي-البيان-مدينة-الرياض-منطقة-الرياض-6580476,حي الشرق,700000.0,92.0,2.0,46372.49778369778,6.62
6465076,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-ابن-البرهان-النحاس-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6465076,حي الرمال,790000.0,127.0,4.0,52262.551439301424,6.62
6620253,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-طبرجل-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6620253,حي اليرموك,990000.0,161.0,4.0,65584.93360657859,6.62
6395969,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-علي-الجمال-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6395969,حي المهدية,770000.0,144.0,3.0,50992.406648027885,6.62
6614575,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-جابر-الاحمد-الصباح-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6614575,حي اليرموك,907055.0,161.0,4.0,60034.88444543475,6.62
6562544,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القنا-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6562544,حي المونسية,920000.0,129.0,4.0,60874.25193390094,6.62
