listing_id,url,district,rooms,price,area_sqm,expected_annual_rent_sakani,sakani_deals_count,sakani_trusted,expected_yield_pct_sakani,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,price_ratio,verdict_price
6726905,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-خليفة-العتيبي-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6726905,حي القيروان,4.0,1050000.0,129.0,62300,204,True,5.93,8140,120,5828.0,1.4,🟡 مبالغ فيه
6758529,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الندى/شارع-رقم-28-حي-الندى-مدينة-الرياض-منطقة-الرياض-6758529,حي الندى,4.0,1150000.0,72.0,68100,104,True,5.92,15972,4,9291.0,1.72,🟡 مبالغ فيه
6406956,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الحارث-بن-عبدالرحمن-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6406956,حي النرجس,4.0,975000.0,215.0,57600,863,True,5.91,4535,167,7367.0,0.62,🟢 سعر عادل
6407063,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الحارث-بن-عبدالرحمن-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6407063,حي النرجس,4.0,975000.0,215.0,57600,863,True,5.91,4535,167,7367.0,0.62,🟢 سعر عادل
6407066,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الحارث-بن-عبدالرحمن-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6407066,حي النرجس,4.0,975000.0,215.0,57600,863,True,5.91,4535,167,7367.0,0.62,🟢 سعر عادل
6713877,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الحارث-بن-عبدالرحمن-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6713877,حي النرجس,4.0,975000.0,137.0,57600,863,True,5.91,7117,714,8176.0,0.87,🟢 سعر عادل
6712519,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الحارث-بن-عبدالرحمن-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6712519,حي النرجس,4.0,975000.0,137.0,57600,863,True,5.91,7117,714,8176.0,0.87,🟢 سعر عادل
6742469,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-غرناطة/شارع-بعلبك-حي-غرناطة-مدينة-الرياض-منطقة-الرياض-6742469,حي غرناطة,4.0,650000.0,156.0,38200,227,True,5.88,4167,21,3290.0,1.27,🟡 مبالغ فيه
6770162,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-نوار-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6770162,حي الملقا,2.0,840000.0,110.0,49400,640,True,5.88,7636,114,9317.0,0.82,🟢 سعر عادل
6803562,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-ابن-وهب-القرشي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6803562,حي الرمال,2.0,586000.0,125.0,34400,740,True,5.87,4688,434,5222.0,0.9,🟢 سعر عادل
6776675,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-ابن-وهب-القرشي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6776675,حي الرمال,2.0,586000.0,125.0,34400,740,True,5.87,4688,434,5222.0,0.9,🟢 سعر عادل
