listing_id,url,district,price,area_sqm,price_per_sqm,rent_low,rent_mid,rent_high,yield_low_pct,yield_mid_pct,yield_high_pct,net_yield_low_pct,strengths,risks,verdict,verdict_reason
6581306,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الخضارم-حي-بدر-مدينة-الرياض-منطقة-الرياض-6581306,حي بدر,370000.0,171.0,2164.0,30325,37200,45521,8.2,10.05,12.3,6.88,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6726732,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-التنعيم-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6726732,حي المونسية,770000.0,113.0,6814.0,62986,79174,90000,8.18,10.28,11.69,6.87,خزانات مياه مستقلة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6394589,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-اللؤلؤة-حي-العارض-مدينة-الرياض-منطقة-الرياض-6394589,حي العارض,800000.0,102.0,7843.0,65000,74323,87536,8.12,9.29,10.94,6.82,خزانات مياه مستقلة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6748337,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-النسور-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6748337,حي طيبة,380000.0,201.0,1891.0,30846,41775,68275,8.12,10.99,17.97,6.82,تشطيبات حديثة مذكورة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6762732,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-التنعيم-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6762732,حي المونسية,780000.0,119.0,6555.0,63200,76938,90000,8.1,9.86,11.54,6.81,يوجد مصعد | خزانات مياه مستقلة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6639051,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-تميم-بن-بشر-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6639051,حي الحزم,390000.0,88.0,4432.0,31550,44194,55190,8.09,11.33,14.15,6.8,تشطيبات حديثة مذكورة | عقار جديد,السعر قابل للتفاوض -- ممكن فيه هامش تفاوض إضافي,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6735383,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-الدره-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6735383,حي الرمال,460000.0,73.0,6301.0,37200,47038,57151,8.09,10.23,12.42,6.79,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6490041,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الاعتدال-حي-بدر-مدينة-الرياض-منطقة-الرياض-6490041,حي بدر,330000.0,105.0,3143.0,26657,31792,37340,8.08,9.63,11.32,6.79,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6650865,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-يزيد-بن-محمد-حي-طويق-مدينة-الرياض-منطقة-الرياض-6650865,حي طويق,440000.0,119.0,3697.0,35500,41633,48517,8.07,9.46,11.03,6.78,تشطيبات حديثة مذكورة,السعر قابل للتفاوض -- ممكن فيه هامش تفاوض إضافي,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6361716,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-خليفه-ابن-حمد-آل-ثاني-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6361716,حي الجنادرية,450000.0,77.0,5844.0,36249,42560,56040,8.06,9.46,12.45,6.77,يوجد مصعد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6773268,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الشفا/شارع-إبراهيم-بن-السبهان-حي-الشفاء-مدينة-الرياض-منطقة-الرياض-6773268,حي الشفا,360000.0,103.0,3495.0,29000,32958,39436,8.06,9.16,10.95,6.77,يوجد مصعد | خزانات مياه مستقلة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6639690,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أمين-الرافعي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6639690,حي الرمال,639000.0,147.0,4347.0,51537,60000,65000,8.07,9.39,10.17,6.77,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6369828,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-البلدة-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6369828,حي الفيحاء,561000.0,130.0,4315.0,45180,56771,65058,8.05,10.12,11.6,6.76,يوجد مصعد | يوجد موقف سيارة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6773660,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-المروة/شارع-محمد-بن-أحمد-أبي-شيبة-حي-المروة-مدينة-الرياض-منطقة-الرياض-6773660,حي المروة,340000.0,97.0,3505.0,27333,35690,42338,8.04,10.5,12.45,6.75,يوجد مصعد | خزانات مياه مستقلة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6788331,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالقدوس-الأنصاري-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6788331,حي الرمال,680000.0,102.0,6667.0,54680,63500,68750,8.04,9.34,10.11,6.75,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6790437,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالقدوس-الأنصاري-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6790437,حي الرمال,680000.0,102.0,6667.0,54680,63500,68750,8.04,9.34,10.11,6.75,يوجد موقف سيارة | خزانات مياه مستقلة,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6773650,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-حسن-الفخري-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6773650,حي عكاظ,340000.0,85.0,4000.0,27333,30000,33343,8.04,8.82,9.81,6.75,يوجد مصعد | خزانات مياه مستقلة | عقار جديد,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
6576712,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-الأقزاز-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6576712,حي الدار البيضاء,425000.0,109.0,3899.0,34122,42071,51667,8.03,9.9,12.16,6.74,,,🟡 Proceed مشروط,العائد الصافي معقول لكن يعتمد على افتراضات الإيجار -- راجع يدويًا
